,week/year,extreme,normal,total
0,0/2020,0,0,0
1,1/2020,0,0,0
2,2/2020,0,0,0
3,3/2020,0,0,0
4,4/2020,69,105,174
5,5/2020,279,217,496
6,6/2020,19,16,35
7,7/2020,15,21,36
8,8/2020,2,13,15
9,9/2020,3,11,14
10,10/2020,0,0,0
11,11/2020,0,0,0
12,12/2020,0,0,0
13,13/2020,1,1,2
14,14/2020,16,34,50
15,15/2020,24,208,232
16,16/2020,27,450,477
17,17/2020,12,63,75
18,18/2020,120,125,245
19,19/2020,13,42,55
20,20/2020,28,76,104
21,21/2020,29,171,200
22,22/2020,15,156,171
23,23/2020,0,0,0
24,24/2020,0,0,0
25,25/2020,0,0,0
26,26/2020,0,0,0
27,27/2020,0,0,0
28,28/2020,0,0,0
29,29/2020,0,0,0
30,30/2020,0,0,0
31,31/2020,0,0,0
32,32/2020,0,0,0
33,33/2020,0,0,0
34,34/2020,0,0,0
35,35/2020,0,0,0
36,36/2020,0,0,0
37,37/2020,0,0,0
38,38/2020,0,0,0
39,39/2020,0,0,0
40,40/2020,0,0,0
41,41/2020,0,0,0
42,42/2020,0,0,0
43,43/2020,0,0,0
44,44/2020,0,0,0
45,45/2020,0,0,0
46,46/2020,0,0,0
47,47/2020,0,0,0
48,48/2020,0,0,0
49,49/2020,0,0,0
50,50/2020,0,0,0
51,51/2020,0,0,0
52,52/2020,0,0,0
