,week/year,extreme,normal,total
0,0/2020,0,0,0
1,1/2020,1,0,1
2,2/2020,2,0,2
3,3/2020,4,5,9
4,4/2020,450,689,1139
5,5/2020,774,2392,3166
6,6/2020,232,914,1146
7,7/2020,304,1127,1431
8,8/2020,152,477,629
9,9/2020,725,3251,3976
10,10/2020,0,0,0
11,11/2020,3,5,8
12,12/2020,7,14,21
13,13/2020,14,14,28
14,14/2020,37915,71657,109572
15,15/2020,91757,237922,329679
16,16/2020,110697,230084,340781
17,17/2020,36337,85059,121396
18,18/2020,100744,256503,357247
19,19/2020,62384,166013,228397
20,20/2020,92935,253146,346081
21,21/2020,36633,77909,114542
22,22/2020,80248,104370,184618
23,23/2020,0,0,0
24,24/2020,0,0,0
25,25/2020,0,0,0
26,26/2020,0,0,0
27,27/2020,0,0,0
28,28/2020,0,0,0
29,29/2020,0,0,0
30,30/2020,0,0,0
31,31/2020,0,0,0
32,32/2020,0,0,0
33,33/2020,0,0,0
34,34/2020,0,0,0
35,35/2020,0,0,0
36,36/2020,0,0,0
37,37/2020,0,0,0
38,38/2020,0,0,0
39,39/2020,0,0,0
40,40/2020,0,0,0
41,41/2020,0,0,0
42,42/2020,0,0,0
43,43/2020,0,0,0
44,44/2020,0,0,0
45,45/2020,0,0,0
46,46/2020,0,0,0
47,47/2020,0,0,0
48,48/2020,0,0,0
49,49/2020,0,0,0
50,50/2020,0,0,0
51,51/2020,0,0,0
52,52/2020,0,0,0
